word,log_cnt
afligido,2.886491
aflojar,2.725912
afortunado,4.023458
afro,3.067443
afrontar,3.436004
afuera,4.890482
agacharse,2.728354
agarra,3.967361
agarrado,3.267406
agarrar,3.832317
agarre,3.442166
agarro,3.340246
agasajar,2.041393
agasajo,2.25042
agencia,4.126391
agenda,3.824321
agendar,1.672098
agente,4.863721
ágil,2.977266
agilidad,2.716003
agitación,2.950365
agitado,3.277609
agitar,2.911158
aglomeración,1.643453
agobiado,2.553883
agobiante,2.511883
agobio,2.10721
agonía,3.337459
agosto,3.82393
agotada,3.352954
agotado,3.622007
agotador,3.235276
agotamiento,2.904716
agotar,2.571709
agraciado,2.245513
agradable,4.535851
agradables,3.423246
agradar,2.82866
agradecer,3.620136
agradecido,3.882866
agradecimiento,3.542327
agrado,3.35526
agrandado,2.181844
agrandar,2.482874
agravar,1.919078
agravio,2.40824
agredir,2.494155
agregado,2.96426
agregar,3.435048
agresión,3.593397
agresiva,3.309204
agresividad,2.957607
agresivo,3.501196
agresor,3.074816
agreste,2.307496
agricultor,2.762679
agricultura,3.220631
agridulce,2.595496
agrimensor,2.240549
agrio,2.595496
agro,1.447158
agrupación,2.436163
agrupar,2.012837
agua,5.123067
aguado,2.445604
aguanieve,1.851258
aguanta,4.144699
aguantar,3.98592
aguante,3.3485
aguardar,2.58995
aguas,3.911584
aguda,3.177248
agudeza,2.489958
agudo,3.250908
aguerrido,1.838849
aguijón,2.83187
águila,3.708931
aguinaldo,1.959041
aguja,3.756636
agujas,3.485721
agujerear,2.176091
agujero,4.261739
agujeros,3.737987
ahí,5.685762
ahogado,3.32695
ahogamiento,2.586587
ahogar,3.146438
ahogarse,3.269746
ahogo,3.077731
ahondar,2.004321
ahora,6.064985
ahorcado,3.095866
ahorcar,2.741152
ahorrar,3.572988
ahorrativo,1.591065
ahorro,3.109916
ahorros,3.546913
aire,4.765452
airear,2.220108
aislado,3.478422
aislamiento,3.4682
aislar,3.06032
aislarse,2.283301
ajado,1.518514
ajar,1.20412
ajedrez,3.661434
ajena,2.970347
ajeno,2.966611
ajenos,2.802774
ají,2.212188
ajo,3.440752
ajustado,3.237041
ajustar,3.306425
ajuste,3.26998
ala,3.873669
alabado,3.435048
alabanza,2.574031
alabar,2.575188
alacena,2.755112
alacrán,1.491362
aladín,1.39794
alado,2.487138
alambrado,2.583199
alambre,3.410946
alardear,2.931966
alargado,2.4133
alargar,2.729974
alargue,2.09691
alarma,4.107447
alas,4.003245
alba,3.436322
albañil,2.815578
albedrío,2.940516
albergue,3.127753
alborotado,2.212188
alboroto,3.545183
álbum,3.585235
alcahuete,2.736397
alcalde,4.266772
alcance,4.058578
alcancía,2.361728
